"date","category","value"
"2014","Dara Khosrowshahi",12517
"2014","Mark Okerstrom",0
"2014","Barry Diller",788468
"2014","Total",800985
"2014","Barry Diller (including IAC)",1654089
"2013","Dara Khosrowshahi",376237
"2013","Mark Okerstrom",1940
"2013","Barry Diller",439575
"2013","Total",817752
"2013","Barry Diller (including IAC)",1084419
"2012","Dara Khosrowshahi",421197
"2012","Mark Okerstrom",19774
"2012","Barry Diller",386821
"2012","Total",827792
"2012","Barry Diller (including IAC)",1068660
"2011","Dara Khosrowshahi",403792
"2011","Mark Okerstrom",0
"2011","Barry Diller",370809
"2011","Total",774601
"2011","Barry Diller (including IAC)",1284775
"2010","Dara Khosrowshahi",0
"2010","Mark Okerstrom",0
"2010","Barry Diller",0
"2010","Total",0
"2010","Barry Diller (including IAC)",644530
"2009","Dara Khosrowshahi",248380
"2009","Mark Okerstrom",0
"2009","Barry Diller",704262
"2009","Total",952642
"2009","Barry Diller (including IAC)",1695795
"2008","Dara Khosrowshahi",106404
"2008","Mark Okerstrom",0
"2008","Barry Diller",769745
"2008","Total",876149
"2008","Barry Diller (including IAC)",1370018
"2007","Dara Khosrowshahi",0
"2007","Mark Okerstrom",0
"2007","Barry Diller",521302
"2007","Total",521302
"2007","Barry Diller (including IAC)",1214504
"2006","Dara Khosrowshahi",0
"2006","Mark Okerstrom",0
"2006","Barry Diller",395964
"2006","Total",395964
"2006","Barry Diller (including IAC)",913178
"2005","Dara Khosrowshahi",0
"2005","Mark Okerstrom",0
"2005","Barry Diller",141973
"2005","Total",141973
"2005","Barry Diller (including IAC)",833858
