"x","y","name","y1"
1,1.191972,"Freeport-McMoRan",3.02
2,1.187865,"Comcast Corp",6.03
3,1.113371,"Tyson Foods",8.85
4,1.049798,"Wynn Resorts",11.51
5,1.035119,"Constellation Brands",14.13
6,0.954443,"Ford Motor",16.55
7,0.940231,"Leucadia National",18.93
8,0.868847,"Boeing Co",21.13
9,0.80042,"DaVita HealthCare Partner",23.16
10,0.788468,"Expedia",25.15
11,0.749844,"CBS Corp",27.05
12,0.6724,"Google",28.76
13,0.638608,"General Electric",30.37
14,0.610454,"Facebook",31.92
15,0.60608,"Procter & Gamble",33.46
16,0.575118,"Honeywell International",34.91
17,0.5553,"AbbVie",36.32
18,0.530585,"Viacom",37.66
19,0.479572,"Wal-Mart Stores",38.88
20,0.478545,"Bank of America",40.09
21,0.458144,"Twenty-First Century Fox",41.25
22,0.451816,"Dollar General",42.4
23,0.441319,"Raytheon Co",43.51
24,0.432223,"Emerson Electric",44.61
25,0.420924,"Aetna",45.67
26,0.402946,"Anadarko Petroleum",46.7
27,0.4024,"Discovery Communications",47.71
28,0.391411,"Walt Disney Co",48.71
29,0.38979,"Halliburton Co",49.69
30,0.376981,"Ralph Lauren Corp",50.65
31,0.373304,"Philip Morris International",51.59
32,0.368845,"Yum Brands",52.53
33,0.350564,"Macerich Co",53.42
34,0.35,"BlackRock",54.3
35,0.332644,"Duke Energy",55.15
36,0.31481,"Simon Property Group",55.94
37,0.313295,"Motorola Solutions",56.74
38,0.311337,"Omnicom Group",57.53
39,0.309486,"General Motors",58.31
40,0.298333,"Corning",59.06
41,0.274288,"Johnson & Johnson",59.76
42,0.26868,"Danaher Corp",60.44
43,0.258295,"Waste Management",61.09
44,0.258086,"Caterpillar",61.75
45,0.252115,"Northrop Grumman",62.39
46,0.251666,"Hewlett-Packard",63.02
47,0.249519,"Time Warner Cable",63.66
48,0.237968,"Morgan Stanley",64.26
49,0.237718,"ACE Limited",64.86
50,0.234582,"Pfizer",65.46
51,0.233579,"NiSource",66.05
52,0.225649,"Coca-Cola Enterprises",66.62
53,0.22124,"Dow Chemical",67.18
54,0.218568,"Lockheed Martin",67.73
55,0.217954,"Abbott Laboratories",68.28
56,0.214447,"Tenet Healthcare",68.83
57,0.208615,"Newell Rubbermaid",69.36
58,0.200846,"ConocoPhillips",69.87
59,0.199273,"International Business Machines",70.37
60,0.195724,"Union Pacific",70.87
61,0.194283,"Carnival Corp",71.36
62,0.190224,"Altria Group",71.84
63,0.190191,"EMC Corp",72.32
64,0.185648,"Target Corp",72.79
65,0.181638,"American Express",73.25
66,0.179993,"Kohl's Corp",73.71
67,0.178908,"Cablevision Systems",74.16
68,0.178593,"Coca-Cola Co",74.61
69,0.173613,"Murphy Oil",75.05
70,0.172157,"Ameriprise Financial",75.49
71,0.169992,"Precision Castparts",75.92
72,0.163038,"PPG Indus",76.33
73,0.161828,"Qualcomm",76.74
74,0.16141,"CarMax",77.15
75,0.158243,"3M Co",77.55
76,0.157829,"Ingersoll-Rand Plc",77.95
77,0.157544,"AutoNation",78.35
78,0.156584,"Exelon Corp",78.75
79,0.152936,"PepsiCo",79.14
80,0.152072,"Mondelez International",79.52
81,0.151871,"General Dynamics",79.91
82,0.151855,"Humana",80.29
83,0.150992,"Archer-Daniels-Midland",80.67
84,0.14781,"Cigna Corp",81.05
85,0.145832,"Tyco International",81.42
86,0.14498,"Monsanto Co",81.78
87,0.143974,"Whirlpool Corp",82.15
88,0.143576,"Genuine Parts",82.51
89,0.142982,"ConAgra Foods",82.87
90,0.142594,"Home Depot",83.24
91,0.141123,"Verizon Communications",83.59
92,0.140787,"eBay",83.95
93,0.139384,"INVESCO Ltd",84.3
94,0.138704,"GameStop Corp",84.65
95,0.135494,"CA",85
96,0.132785,"Wyndham Worldwide",85.33
97,0.131844,"Linear Technology Corp",85.67
98,0.130879,"McKesson Corp",86
99,0.129549,"CR Bard",86.33
100,0.128143,"Air Products & Chemicals",86.65
101,0.123948,"Franklin Resources",86.97
102,0.12265,"Cerner Corp",87.28
103,0.122164,"McDonald's Corp",87.59
104,0.120407,"Huntington Bancshares",87.89
105,0.119194,"Praxair",88.19
106,0.118672,"Cummins",88.49
107,0.115476,"United Technologies",88.79
108,0.112577,"AT&T",89.07
109,0.11069,"Gap",89.35
110,0.107658,"FMC Corp",89.62
111,0.10641,"Spectra Energy",89.89
112,0.10361,"Time Warner",90.16
113,0.101112,"Chevron Corp",90.41
114,0.099773,"Masco Corp",90.66
115,0.099357,"Cardinal Health",90.92
116,0.099189,"Marriott International",91.17
117,0.098308,"Eastman Chemical",91.42
118,0.095939,"International Paper",91.66
119,0.094954,"Lowe's Companies",91.9
120,0.093999,"Quest Diagnostics",92.14
121,0.092768,"Eaton Corp Plc",92.37
122,0.092361,"Fidelity National Information Services",92.61
123,0.091637,"AFLAC",92.84
124,0.091471,"Reynolds American",93.07
125,0.091457,"Marsh & McLennan",93.3
126,0.087137,"Progressive Corp",93.52
127,0.084227,"Xerox Corp",93.74
128,0.081072,"Owens-Illinois",93.94
129,0.080051,"Deere & Co",94.15
130,0.077246,"Du Pont",94.34
131,0.075972,"CONSOL Energy",94.53
132,0.075,"Macy's",94.72
133,0.072468,"Republic Services",94.91
134,0.07216,"Ecolab",95.09
135,0.071792,"Dominion Resources",95.27
136,0.07156,"VF Corp",95.45
137,0.06992,"Norfolk Southern",95.63
138,0.068401,"Dr Pepper Snapple Group",95.8
139,0.0669,"Hartford Finl Services Gp",95.97
140,0.066725,"MasterCard",96.14
141,0.063428,"Helmerich & Payne",96.3
142,0.063405,"Bank of New York Mellon",96.46
143,0.062784,"Marathon Petroleum",96.62
144,0.059865,"Allstate Corp",96.77
145,0.05953,"FedEx Corp",96.92
146,0.057908,"Intercontinental Exchange",97.07
147,0.057759,"FirstEnergy Corp",97.22
148,0.057095,"Texas Instruments",97.36
149,0.0568,"Total System Services",97.51
150,0.056336,"Kimberly-Clark",97.65
151,0.055332,"Amgen",97.79
152,0.054436,"Harris Corp",97.93
153,0.05377,"Chubb Corp",98.06
154,0.049497,"JPMorgan Chase & Co",98.19
155,0.048114,"J M Smucker",98.31
156,0.047623,"Alcoa",98.43
157,0.047156,"Lincoln National",98.55
158,0.04639,"Lennar Corp",98.67
159,0.046293,"CVS Health Corp",98.78
160,0.042366,"Boston Scientific",98.89
161,0.040548,"Ball Corp",98.99
162,0.039147,"Apache Corp",99.09
163,0.038069,"Walgreen Boots Alliance",99.19
164,0.035938,"Devon Energy",99.28
165,0.03589,"Sherwin-Williams",99.37
166,0.03537,"CSX Corp",99.46
167,0.034975,"Anthem Inc",99.55
168,0.032379,"Southern Co",99.63
169,0.032339,"Exxon Mobil",99.71
170,0.031991,"Torchmark Corp",99.8
171,0.028,"Regions Financial",99.87
172,0.026995,"PNC Financial Services",99.93
173,0.02573,"Kansas City Southern",100
