"date","category","value"
"2014","Stephen Burke",387081
"2014","Brian Roberts",346564
"2014","Michael Angelakis",278863
"2014","David Cohen",149895
"2014","Neil Smith",25462
"2014","Ralph Roberts",0
"2014","John Alchin",0
"2014","Total",1187865
"2013","Stephen Burke",390994
"2013","Brian Roberts",192177
"2013","Michael Angelakis",194091
"2013","David Cohen",151743
"2013","Neil Smith",37147
"2013","Ralph Roberts",0
"2013","John Alchin",0
"2013","Total",966152
"2012","Stephen Burke",368511
"2012","Brian Roberts",349683
"2012","Michael Angelakis",172859
"2012","David Cohen",140243
"2012","Neil Smith",21815
"2012","Ralph Roberts",0
"2012","John Alchin",0
"2012","Total",1053111
"2011","Stephen Burke",399419
"2011","Brian Roberts",237176
"2011","Michael Angelakis",193701
"2011","David Cohen",187269
"2011","Neil Smith",2261
"2011","Ralph Roberts",0
"2011","John Alchin",0
"2011","Total",1019826
"2010","Stephen Burke",386752
"2010","Brian Roberts",195767
"2010","Michael Angelakis",191344
"2010","David Cohen",113599
"2010","Neil Smith",0
"2010","Ralph Roberts",0
"2010","John Alchin",0
"2010","Total",887462
"2009","Stephen Burke",455154
"2009","Brian Roberts",492000
"2009","Michael Angelakis",97712
"2009","David Cohen",108935
"2009","Neil Smith",0
"2009","Ralph Roberts",0
"2009","John Alchin",0
"2009","Total",1153801
"2008","Stephen Burke",315118
"2008","Brian Roberts",392732
"2008","Michael Angelakis",41208
"2008","David Cohen",65618
"2008","Neil Smith",0
"2008","Ralph Roberts",68016
"2008","John Alchin",0
"2008","Total",882692
"2007","Stephen Burke",214751
"2007","Brian Roberts",270898
"2007","Michael Angelakis",44196
"2007","David Cohen",23006
"2007","Neil Smith",24605
"2007","Ralph Roberts",194543
"2007","John Alchin",11656
"2007","Total",771999
"2006","Stephen Burke",81193
"2006","Brian Roberts",93210
"2006","Michael Angelakis",6441
"2006","David Cohen",0
"2006","Neil Smith",6958
"2006","Ralph Roberts",62075
"2006","John Alchin",0
"2006","Total",249877
"2005","Stephen Burke",144222
"2005","Brian Roberts",211562
"2005","Michael Angelakis",0
"2005","David Cohen",0
"2005","Neil Smith",67547
"2005","Ralph Roberts",97096
"2005","John Alchin",0
"2005","Total",520427
