"date","category","value"
"2014","Brian Friedman",349869
"2014","Richard Handler",322699
"2014","Joseph Steinberg",267663
"2014","Ian Cumming",0
"2014","Total",940231
"2013","Brian Friedman",207918
"2013","Richard Handler",196181
"2013","Joseph Steinberg",271496
"2013","Ian Cumming",644776
"2013","Total",1320371
"2012","Brian Friedman",0
"2012","Richard Handler",0
"2012","Joseph Steinberg",587471
"2012","Ian Cumming",427996
"2012","Total",1015467
"2011","Brian Friedman",0
"2011","Richard Handler",0
"2011","Joseph Steinberg",378643
"2011","Ian Cumming",425885
"2011","Total",804528
"2010","Brian Friedman",0
"2010","Richard Handler",0
"2010","Joseph Steinberg",225819
"2010","Ian Cumming",239604
"2010","Total",465423
"2009","Brian Friedman",0
"2009","Richard Handler",0
"2009","Joseph Steinberg",212727
"2009","Ian Cumming",29886
"2009","Total",242613
"2008","Brian Friedman",0
"2008","Richard Handler",0
"2008","Joseph Steinberg",412923
"2008","Ian Cumming",359213
"2008","Total",772136
"2007","Brian Friedman",0
"2007","Richard Handler",0
"2007","Joseph Steinberg",231934
"2007","Ian Cumming",229453
"2007","Total",461387
"2006","Brian Friedman",0
"2006","Richard Handler",0
"2006","Joseph Steinberg",405846
"2006","Ian Cumming",370651
"2006","Total",776497
"2005","Brian Friedman",0
"2005","Richard Handler",0
"2005","Joseph Steinberg",295418
"2005","Ian Cumming",140077
"2005","Total",435495
