name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
James Flores,528898,330266,,,,,,,,
James Moffett,517088,193272,233154,348364,242279,211327,412475,325591,378644,309028
Richard Adkerson,145986,283788,325160,238158,257062,168098,271351,192686,309028,184936
Total,1191972,807326,558314,586522,499341,379425,683826,518277,687672,493964
