"date","category","value"
"2014","James McNerney Jr",489288
"2014","Raymond Conner",185939
"2014","Michael Luttig",126218
"2014","Gregory Smith",36550
"2014","Dennis Muilenburg",30852
"2014","James Albaugh",0
"2014","James Bell",0
"2014","Laurette Koellner",0
"2014","Alan Mulally",0
"2014","Total",868847
"2013","James McNerney Jr",373137
"2013","Raymond Conner",0
"2013","Michael Luttig",0
"2013","Gregory Smith",22513
"2013","Dennis Muilenburg",27300
"2013","James Albaugh",0
"2013","James Bell",0
"2013","Laurette Koellner",0
"2013","Alan Mulally",0
"2013","Total",422950
"2012","James McNerney Jr",339964
"2012","Raymond Conner",0
"2012","Michael Luttig",145296
"2012","Gregory Smith",20699
"2012","Dennis Muilenburg",189924
"2012","James Albaugh",76785
"2012","James Bell",29392
"2012","Laurette Koellner",0
"2012","Alan Mulally",0
"2012","Total",802060
"2011","James McNerney Jr",405137
"2011","Raymond Conner",0
"2011","Michael Luttig",88583
"2011","Gregory Smith",0
"2011","Dennis Muilenburg",19740
"2011","James Albaugh",104687
"2011","James Bell",137997
"2011","Laurette Koellner",0
"2011","Alan Mulally",0
"2011","Total",756144
"2010","James McNerney Jr",303962
"2010","Raymond Conner",0
"2010","Michael Luttig",67054
"2010","Gregory Smith",0
"2010","Dennis Muilenburg",0
"2010","James Albaugh",70989
"2010","James Bell",197692
"2010","Laurette Koellner",0
"2010","Alan Mulally",0
"2010","Total",639697
"2009","James McNerney Jr",436478
"2009","Raymond Conner",0
"2009","Michael Luttig",0
"2009","Gregory Smith",0
"2009","Dennis Muilenburg",0
"2009","James Albaugh",76030
"2009","James Bell",171185
"2009","Laurette Koellner",0
"2009","Alan Mulally",0
"2009","Total",683693
"2008","James McNerney Jr",287062
"2008","Raymond Conner",0
"2008","Michael Luttig",0
"2008","Gregory Smith",0
"2008","Dennis Muilenburg",0
"2008","James Albaugh",69532
"2008","James Bell",258139
"2008","Laurette Koellner",0
"2008","Alan Mulally",0
"2008","Total",614733
"2007","James McNerney Jr",294997
"2007","Raymond Conner",0
"2007","Michael Luttig",0
"2007","Gregory Smith",0
"2007","Dennis Muilenburg",0
"2007","James Albaugh",129818
"2007","James Bell",94277
"2007","Laurette Koellner",0
"2007","Alan Mulally",0
"2007","Total",519092
"2006","James McNerney Jr",331449
"2006","Raymond Conner",0
"2006","Michael Luttig",0
"2006","Gregory Smith",0
"2006","Dennis Muilenburg",0
"2006","James Albaugh",76274
"2006","James Bell",102901
"2006","Laurette Koellner",114445
"2006","Alan Mulally",0
"2006","Total",625069
"2005","James McNerney Jr",275207
"2005","Raymond Conner",0
"2005","Michael Luttig",0
"2005","Gregory Smith",0
"2005","Dennis Muilenburg",0
"2005","James Albaugh",87155
"2005","James Bell",79631
"2005","Laurette Koellner",101765
"2005","Alan Mulally",83650
"2005","Total",627408
