name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Dara Khosrowshahi,12517,376237,421197,403792,0,248380,106404,,,
Mark Okerstrom,0,1940,19774,,,,,,,
Barry Diller,788468,439575,386821,370809,0,704262,769745,521302,395964,141973
Total,800985,817752,827792,774601,0,952642,876149,521302,395964,141973
Barry Diller (including IAC),1654089,1084419,1068660,1284775,644530,1695795,1370018,1214504,913178,833858
