name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Alan Mulally,396486,232153,188937,178571,167796,127699,344109,752203,172974,0
William Clay Ford Jr,297801,275639,178257,259666,126337,438419,0,0,185232,297201
Mark Fields,260156,0,0,0,0,0,0,0,517560,214479
James Padilla,0,0,0,0,0,0,0,0,0,204672
Total,954443,507792,367194,438237,294133,566118,344109,752203,875766,716352
