name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Robert Sands,629858,625431,203197,333718,178251,126187,181755,123002,217041,135047,105564
Richard Sands,595964,409688,446304,441551,426990,254228,488192,296256,247812,152509,114324
Thomas Mullin,0,0,0,0,0,10401,0,0,0,0,0
Total,1225822,1035119,649501,775269,605241,390816,669947,419258,464853,287556,219888
