name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Kent Thiry,515981,677113,497379,477410,287398,221784,352770,259481,494492,345639
Javier Rodriguez,150660,12701,110077,34719,49715,27972,26396,0,0,0
Dennis Kogod,104230,89405,45221,106611,16323,0,10609,0,0,0
Michael Staffieri,29549,0,0,0,0,0,0,0,0,0
Thomas Usilton,0,0,56023,0,0,23423,22995,3429,0,0
Joseph Mello,0,0,0,0,0,0,0,0,2689,19100
Total,800420,779219,708700,618740,353436,273179,412770,262910,497181,364739
