name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Brian Friedman,349869,207918,0,0,0,0,0,0,0,0
Richard Handler,322699,196181,0,0,0,0,0,0,0,0
Joseph Steinberg,267663,271496,587471,378643,225819,212727,412923,231934,405846,295418
Ian Cumming,0,644776,427996,425885,239604,29886,359213,229453,370651,140077
Total,940231,1320371,1015467,804528,465423,242613,772136,461387,776497,435495
