"date","category","value"
"2014","James Flores",528898
"2014","James Moffett",517088
"2014","Richard Adkerson",145986
"2014","Total",1191972
"2013","James Flores",330266
"2013","James Moffett",193272
"2013","Richard Adkerson",283788
"2013","Total",807326
"2012","James Flores",0
"2012","James Moffett",233154
"2012","Richard Adkerson",325160
"2012","Total",558314
"2011","James Flores",0
"2011","James Moffett",348364
"2011","Richard Adkerson",238158
"2011","Total",586522
"2010","James Flores",0
"2010","James Moffett",242279
"2010","Richard Adkerson",257062
"2010","Total",499341
"2009","James Flores",0
"2009","James Moffett",211327
"2009","Richard Adkerson",168098
"2009","Total",379425
"2008","James Flores",0
"2008","James Moffett",412475
"2008","Richard Adkerson",271351
"2008","Total",683826
"2007","James Flores",0
"2007","James Moffett",325591
"2007","Richard Adkerson",192686
"2007","Total",518277
"2006","James Flores",0
"2006","James Moffett",378644
"2006","Richard Adkerson",309028
"2006","Total",687672
"2005","James Flores",0
"2005","James Moffett",309028
"2005","Richard Adkerson",184936
"2005","Total",493964
