name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Stephen Wynn,1049798,927829,1188901,910345,942631,1198056,1074657,424548,237285,417916
Marc Schorr,0,117561,386391,387982,138427,103421,280259,176914,110035,119781
Ronald Kramer,0,0,0,0,0,0,0,0,0,53038
Total,1049798,1045390,1575292,1298327,1081058,1301477,1354916,601462,347320,590735
