name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Dick Bond,0,0,0,0,0,0,141168,458069,341205,244587,282708
Leland Tollett,0,0,0,0,0,98819,14014,0,0,0,0
Don Tyson,0,0,0,0,87066,587523,352968,542571,0,0,0
John Tyson,818462,859129,1034505,860520,449737,341857,203983,325528,394249,323659,324472
Donnie Smith,156601,108682,65249,92480,10526,18730,0,0,0,0,0
Noel White,103137,57836,0,0,0,0,0,0,0,0,0
Donnie King,105537,45872,0,0,0,0,0,0,0,0,0
James Lochner,0,41852,99876,180619,51964,29341,0,0,0,0,0
Alberto Gonzalez-Pita,0,0,0,0,0,0,0,0,18852,0,0
William Lovette,0,0,0,0,0,0,0,0,21280,57409,0
Greg Lee,0,0,0,0,0,0,0,0,74064,83396,54000
Total,1183737,1113371,1199630,1133619,599293,1076270,712133,1326168,849650,709051,661180
