"date","category","value"
"2014","Stephen Wynn",1049798
"2014","Marc Schorr",0
"2014","Ronald Kramer",0
"2014","Total",1049798
"2013","Stephen Wynn",927829
"2013","Marc Schorr",117561
"2013","Ronald Kramer",0
"2013","Total",1045390
"2012","Stephen Wynn",1188901
"2012","Marc Schorr",386391
"2012","Ronald Kramer",0
"2012","Total",1575292
"2011","Stephen Wynn",910345
"2011","Marc Schorr",387982
"2011","Ronald Kramer",0
"2011","Total",1298327
"2010","Stephen Wynn",942631
"2010","Marc Schorr",138427
"2010","Ronald Kramer",0
"2010","Total",1081058
"2009","Stephen Wynn",1198056
"2009","Marc Schorr",103421
"2009","Ronald Kramer",0
"2009","Total",1301477
"2008","Stephen Wynn",1074657
"2008","Marc Schorr",280259
"2008","Ronald Kramer",0
"2008","Total",1354916
"2007","Stephen Wynn",424548
"2007","Marc Schorr",176914
"2007","Ronald Kramer",0
"2007","Total",601462
"2006","Stephen Wynn",237285
"2006","Marc Schorr",110035
"2006","Ronald Kramer",0
"2006","Total",347320
"2005","Stephen Wynn",417916
"2005","Marc Schorr",119781
"2005","Ronald Kramer",53038
"2005","Total",590735
