"x","y","name","y1"
98,130879,"McKesson Corp",33950614
99,129549,"CR Bard",34080163
100,128143,"Air Products & Chemicals",34208306
101,123948,"Franklin Resources",34332254
102,122650,"Cerner Corp",34454904
103,122164,"McDonald's Corp",34577068
104,120407,"Huntington Bancshares",34697475
105,119194,"Praxair",34816669
106,118672,"Cummins",34935341
107,115476,"United Technologies",35050817
108,112577,"AT&T",35163394
109,110690,"Gap",35274084
110,107658,"FMC Corp",35381742
111,106410,"Spectra Energy",35488152
112,103610,"Time Warner",35591762
113,101112,"Chevron Corp",35692874
114,99773,"Masco Corp",35792647
115,99357,"Cardinal Health",35892004
116,99189,"Marriott International",35991193
117,98308,"Eastman Chemical",36089501
118,95939,"International Paper",36185440
119,94954,"Lowe's Companies",36280394
120,93999,"Quest Diagnostics",36374393
121,92768,"Eaton Corp Plc",36467161
122,92361,"Fidelity National Information Services",36559522
123,91637,"AFLAC",36651159
124,91471,"Reynolds American",36742630
125,91457,"Marsh & McLennan",36834087
126,87137,"Progressive Corp",36921224
127,84227,"Xerox Corp",37005451
128,81072,"Owens-Illinois",37086523
129,80051,"Deere & Co",37166574
130,77246,"Du Pont",37243820
131,75972,"CONSOL Energy",37319792
132,75000,"Macy's",37394792
133,72468,"Republic Services",37467260
134,72160,"Ecolab",37539420
135,71792,"Dominion Resources",37611212
136,71560,"VF Corp",37682772
137,69920,"Norfolk Southern",37752692
138,68401,"Dr Pepper Snapple Group",37821093
139,66900,"Hartford Finl Services Gp",37887993
140,66725,"MasterCard",37954718
141,63428,"Helmerich & Payne",38018146
142,63405,"Bank of New York Mellon",38081551
143,62784,"Marathon Petroleum",38144335
144,59865,"Allstate Corp",38204200
145,59530,"FedEx Corp",38263730
146,57908,"Intercontinental Exchange",38321638
147,57759,"FirstEnergy Corp",38379397
148,57095,"Texas Instruments",38436492
149,56800,"Total System Services",38493292
150,56336,"Kimberly-Clark",38549628
151,55332,"Amgen",38604960
152,54436,"Harris Corp",38659396
153,53770,"Chubb Corp",38713166
154,49497,"JPMorgan Chase & Co",38762663
155,48114,"J M Smucker",38810777
156,47623,"Alcoa",38858400
157,47156,"Lincoln National",38905556
158,46390,"Lennar Corp",38951946
159,46293,"CVS Health Corp",38998239
160,42366,"Boston Scientific",39040605
161,40548,"Ball Corp",39081153
162,39147,"Apache Corp",39120300
163,38069,"Walgreen Boots Alliance",39158369
164,35938,"Devon Energy",39194307
165,35890,"Sherwin-Williams",39230197
166,35370,"CSX Corp",39265567
167,34975,"Anthem Inc",39300542
168,32379,"Southern Co",39332921
169,32339,"Exxon Mobil",39365260
170,31991,"Torchmark Corp",39397251
171,28000,"Regions Financial",39425251
172,26995,"PNC Financial Services",39452246
173,25730,"Kansas City Southern",39477976
