"x","y","name","y1"
1,1191972,"Freeport-McMoRan",1191972
2,1187865,"Comcast Corp",2379837
3,1113371,"Tyson Foods",3493208
4,1049798,"Wynn Resorts",4543006
5,1035119,"Constellation Brands",5578125
6,954443,"Ford Motor",6532568
7,940231,"Leucadia National",7472799
8,868847,"Boeing Co",8341646
9,800420,"DaVita HealthCare Partner",9142066
10,788468,"Expedia",9930534
11,749844,"CBS Corp",10680378
12,672400,"Google",11352778
13,638608,"General Electric",11991386
14,610454,"Facebook",12601840
15,606080,"Procter & Gamble",13207920
16,575118,"Honeywell International",13783038
17,555300,"AbbVie",14338338
18,530585,"Viacom",14868923
19,479572,"Wal-Mart Stores",15348495
20,478545,"Bank of America",15827040
21,458144,"Twenty-First Century Fox",16285184
22,451816,"Dollar General",16737000
23,441319,"Raytheon Co",17178319
24,432223,"Emerson Electric",17610542
25,420924,"Aetna",18031466
26,402946,"Anadarko Petroleum",18434412
27,402400,"Discovery Communications",18836812
28,391411,"Walt Disney Co",19228223
29,389790,"Halliburton Co",19618013
30,376981,"Ralph Lauren Corp",19994994
31,373304,"Philip Morris International",20368298
32,368845,"Yum Brands",20737143
33,350564,"Macerich Co",21087707
34,350000,"BlackRock",21437707
35,332644,"Duke Energy",21770351
36,314810,"Simon Property Group",22085161
37,313295,"Motorola Solutions",22398456
38,311337,"Omnicom Group",22709793
39,309486,"General Motors",23019279
40,298333,"Corning",23317612
41,274288,"Johnson & Johnson",23591900
42,268680,"Danaher Corp",23860580
43,258295,"Waste Management",24118875
44,258086,"Caterpillar",24376961
45,252115,"Northrop Grumman",24629076
46,251666,"Hewlett-Packard",24880742
47,249519,"Time Warner Cable",25130261
48,237968,"Morgan Stanley",25368229
49,237718,"ACE Limited",25605947
50,234582,"Pfizer",25840529
51,233579,"NiSource",26074108
52,225649,"Coca-Cola Enterprises",26299757
53,221240,"Dow Chemical",26520997
54,218568,"Lockheed Martin",26739565
55,217954,"Abbott Laboratories",26957519
56,214447,"Tenet Healthcare",27171966
57,208615,"Newell Rubbermaid",27380581
58,200846,"ConocoPhillips",27581427
59,199273,"International Business Machines",27780700
60,195724,"Union Pacific",27976424
61,194283,"Carnival Corp",28170707
62,190224,"Altria Group",28360931
63,190191,"EMC Corp",28551122
64,185648,"Target Corp",28736770
65,181638,"American Express",28918408
66,179993,"Kohl's Corp",29098401
67,178908,"Cablevision Systems",29277309
68,178593,"Coca-Cola Co",29455902
69,173613,"Murphy Oil",29629515
70,172157,"Ameriprise Financial",29801672
71,169992,"Precision Castparts",29971664
72,163038,"PPG Indus",30134702
73,161828,"Qualcomm",30296530
74,161410,"CarMax",30457940
75,158243,"3M Co",30616183
76,157829,"Ingersoll-Rand Plc",30774012
77,157544,"AutoNation",30931556
78,156584,"Exelon Corp",31088140
79,152936,"PepsiCo",31241076
80,152072,"Mondelez International",31393148
81,151871,"General Dynamics",31545019
82,151855,"Humana",31696874
83,150992,"Archer-Daniels-Midland",31847866
84,147810,"Cigna Corp",31995676
85,145832,"Tyco International",32141508
86,144980,"Monsanto Co",32286488
87,143974,"Whirlpool Corp",32430462
88,143576,"Genuine Parts",32574038
89,142982,"ConAgra Foods",32717020
90,142594,"Home Depot",32859614
91,141123,"Verizon Communications",33000737
92,140787,"eBay",33141524
93,139384,"INVESCO Ltd",33280908
94,138704,"GameStop Corp",33419612
95,135494,"CA",33555106
96,132785,"Wyndham Worldwide",33687891
97,131844,"Linear Technology Corp",33819735
