name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Stephen Burke,387081,390994,368511,399419,386752,455154,315118,214751,81193,144222
Brian Roberts,346564,192177,349683,237176,195767,492000,392732,270898,93210,211562
Michael Angelakis,278863,194091,172859,193701,191344,97712,41208,44196,6441,0
David Cohen,149895,151743,140243,187269,113599,108935,65618,23006,0,0
Neil Smith,25462,37147,21815,2261,0,0,0,24605,6958,67547
Ralph Roberts,0,0,0,0,0,0,68016,194543,62075,97096
John Alchin,0,0,0,0,0,0,0,11656,0,0
Total,1187865,966152,1053111,1019826,887462,1153801,882692,771999,249877,520427
